symbol,username,user_followers,text,timestamp,sentiment,reshared_count,link,message_id,scraped_at
CIEN,Pearl_Power,536,$CIEN that was the bottom... now comes new ATH,2026-06-22T21:08:38Z,Neutral,1,https://stocktwits.com/message/657113288,657113288,2026-06-23T09:00:38.175241
CIEN,BDipNRip,11,$CIEN starting the run back to $600$SMCI  $TTMI,2026-06-22T20:31:07Z,Bullish,0,https://stocktwits.com/message/657109046,657109046,2026-06-23T09:00:38.175265
CIEN,bigwigspix,123,$CIEN 👍🏻,2026-06-22T20:25:37Z,Neutral,0,https://stocktwits.com/message/657108356,657108356,2026-06-23T09:00:38.175270
CIEN,cubie,10611,"@tonyctl @Jeremymartin007 @Cubie @Bidzill @judgeyoung2 @jenbunn @EBE_day @ribbey @TraderRapp @Godreal1 

$COHR dropped -$15,
$LITE -$17
$CIEN -$6
$AAOI  -$7  

busy with $SPCX",2026-06-22T19:42:27Z,Neutral,0,https://stocktwits.com/message/657100783,657100783,2026-06-23T09:00:38.175274
CIEN,frankjohnson123,322,$CIEN .,2026-06-22T18:58:28Z,Bullish,0,https://stocktwits.com/message/657093758,657093758,2026-06-23T09:00:38.175278
CIEN,iQuicky,58,$CIEN reversal yes,2026-06-22T18:34:34Z,Bullish,0,https://stocktwits.com/message/657090374,657090374,2026-06-23T09:00:38.175282
CIEN,cubie,10611,"@TraderRapp @Jeremymartin007 @Cubie @Bidzill @simon58 @judgeyoung2 @jenbunn @EBE_day @ribbey @Godreal1 @tonyctl 

uggh thought bout shorting $CIEN at 461, pulled a jen bc dont know why $LITE $AAPI $COHR all pop so nuch at noon",2026-06-22T18:31:59Z,Neutral,0,https://stocktwits.com/message/657090069,657090069,2026-06-23T09:00:38.175285
CIEN,arkirsch,6,$CIEN FINALLY!!! This has clearly been held down. Ready to run!!!,2026-06-22T18:29:57Z,Bullish,0,https://stocktwits.com/message/657089789,657089789,2026-06-23T09:00:38.175289
CIEN,Haewook,62,$AAOI interesting how all these are going $CIEN $COHR $LITE,2026-06-22T18:21:01Z,Bullish,0,https://stocktwits.com/message/657088548,657088548,2026-06-23T09:00:38.175293
CIEN,cubie,10611,"$CIEN $COHR $LITE $AAOI 

someone knows something? or just midday squeeze",2026-06-22T18:18:40Z,Neutral,1,https://stocktwits.com/message/657088167,657088167,2026-06-23T09:00:38.175297
CIEN,cubie,10611,"@TraderRapp @Jeremymartin007 @Cubie @Bidzill @simon58 @judgeyoung2 @jenbunn @EBE_day @ribbey @Godreal1 @tonyctl 

$CIEN 2 gaps up in last hr a d crickets smh, $COHR $LITE $AAOI we suck",2026-06-22T18:16:57Z,Neutral,0,https://stocktwits.com/message/657087900,657087900,2026-06-23T09:00:38.175300
CIEN,cubie,10611,"@Jeremymartin007 @Cubie @simon58 @judgeyoung2 @jenbunn @EBE_day @ribbey @TraderRapp @Godreal1 @tonyctl 

fk fk, missed $COHR short scalp. that up the most of da 4  $LITE $CIEN $aaoi",2026-06-22T18:12:54Z,Neutral,0,https://stocktwits.com/message/657087341,657087341,2026-06-23T09:00:38.175303
CIEN,cubie,10611,"@jenbunn @Jeremymartin007 @Cubie @simon58 @judgeyoung2 @EBE_day @ribbey @TraderRapp @Godreal1 @tonyctl 

$LITR.X $COHR $CIEN $AAOI pumping and at hod",2026-06-22T18:10:08Z,Neutral,0,https://stocktwits.com/message/657086984,657086984,2026-06-23T09:00:38.175307
CIEN,theintelligentinvestor13,0,$CIEN ??? What happened,2026-06-22T16:58:06Z,Neutral,0,https://stocktwits.com/message/657076824,657076824,2026-06-23T09:00:38.175311
