Date,AAOI,AMD,AMZN,AVGO,CIEN,COHR,GLW,GOOGL,LITE,META,MRVL,MSFT,MU,NVDA,QQQ,SMH,SNDK,SOXX,STX,TSM,VRT,WDC
2024-12-02,40.7400016784668,142.05999755859375,210.7100067138672,163.97384643554688,69.5199966430664,103.62000274658203,48.15781021118164,170.4036407470703,86.37000274658203,589.4386596679688,96.41646575927734,425.9272766113281,98.04434967041016,138.41371154785156,510.65863037109375,246.0107421875,,218.9268341064453,100.20368957519531,190.22547912597656,126.77469635009766,55.249698638916016
2024-12-03,41.7400016784668,141.97999572753906,213.44000244140625,165.58885192871094,71.05000305175781,106.54000091552734,48.0893440246582,170.2545928955078,88.69999694824219,610.1395874023438,95.47081756591797,426.1446838378906,99.3277359008789,140.0411834716797,512.224365234375,246.55662536621094,,217.6888885498047,95.96863555908203,194.6190948486328,127.9205551147461,53.94049072265625
2024-12-04,44.029998779296875,143.99000549316406,218.16000366210938,167.96212768554688,73.1500015258789,112.0199966430664,48.06978988647461,173.265380859375,94.9000015258789,610.2689208984375,117.60897827148438,432.29180908203125,102.67047882080078,144.91355895996094,518.5570678710938,250.73504638671875,,220.57083129882812,94.83214569091797,196.38043212890625,130.63546752929688,54.4295654296875
2024-12-05,34.47999954223633,141.36000061035156,220.5500030517578,167.87353515625,72.2300033569336,108.66000366210938,48.666378021240234,171.5463409423828,92.63999938964844,605.4465942382812,112.85087585449219,437.4307556152344,100.3524398803711,144.8436737060547,517.1199951171875,246.43751525878906,,216.40145874023438,95.36637878417969,199.91290283203125,134.3285675048828,54.25651550292969
2024-12-06,38.880001068115234,138.58999633789062,227.02999877929688,176.7955322265625,73.58000183105469,111.23999786376953,48.47077560424805,173.60324096679688,92.83999633789062,620.2017822265625,112.99021911621094,438.3696594238281,100.6509017944336,142.2275848388672,521.7481079101562,246.7451934814453,,217.7086944580078,95.68694305419922,198.66038513183594,133.59991455078125,53.4739990234375
2024-12-09,36.15999984741211,130.8699951171875,226.08999633789062,176.21450805664062,73.0199966430664,103.94999694824219,47.44384765625,174.45875549316406,89.80000305175781,610.0601196289062,106.5398941040039,440.7908630371094,102.29243469238281,138.6029815673828,517.6849365234375,244.22425842285156,,216.658935546875,96.1337661743164,194.89308166503906,125.93426513671875,53.22570037841797
2024-12-10,33.09000015258789,127.73999786376953,225.0399932861328,169.19309997558594,70.87999725341797,100.20999908447266,47.30692672729492,184.2078399658203,86.97000122070312,615.7771606445312,106.19149780273438,438.1324768066406,97.59666442871094,134.86859130859375,515.9208984375,238.0806884765625,,211.50912475585938,94.79328918457031,187.8183135986328,121.47261047363281,51.781070709228516
2024-12-11,33.67499923706055,130.14999389648438,230.25999450683594,180.4096221923828,73.20999908447266,103.83999633789062,46.58319091796875,194.38470458984375,88.19999694824219,629.0608520507812,110.8500747680664,443.72613525390625,101.53633117675781,139.1022491455078,525.1571655273438,243.9066619873047,,216.82728576660156,95.57038116455078,190.42120361328125,125.60487365722656,52.59367752075195
2024-12-12,33.0,130.60000610351562,228.97000122070312,177.9083251953125,84.5199966430664,104.08000183105469,47.54165267944336,190.9625701904297,90.75,627.1815185546875,108.51083374023438,444.2894287109375,97.73593139648438,137.13519287109375,521.7679443359375,241.5445098876953,,215.14370727539062,94.84186553955078,187.94357299804688,124.80638122558594,49.651737213134766
2024-12-13,36.43000030517578,126.91000366210938,227.4600067138672,221.37600708007812,89.72000122070312,106.63999938964844,47.091766357421875,188.83367919921875,92.91999816894531,616.80126953125,120.21697235107422,442.0262451171875,101.97407531738281,134.04981994628906,525.7616577148438,247.61859130859375,,221.1452178955078,93.69696044921875,197.2985382080078,125.54499816894531,48.99714279174805
2024-12-16,35.09000015258789,126.69000244140625,232.92999267578125,246.19216918945312,91.13999938964844,107.8499984741211,47.1211051940918,195.6381378173828,93.18000030517578,621.1697387695312,124.2086181640625,446.2956237792969,107.70452880859375,131.80313110351562,533.3330078125,251.3503875732422,,225.24525451660156,93.5306167602539,198.5059356689453,125.73464965820312,49.132572174072266
